celebrity,total_mentions
nas,17710.0
pink,5613.0
usher,1482.0
drake,1206.0
ron paul,853.0
pitbull,400.0
kaka,364.0
bono,305.0
skrillex,252.0
bill gates,228.0
taylor swift,188.0
donald trump,174.0
brad pitt,159.0
hillary clinton,152.0
madonna,150.0
kanye west,148.0
michael jordan,116.0
lady gaga,112.0
lil wayne,110.0
lebron james,107.0
katy perry,106.0
miley cyrus,105.0
adele,99.0
snoop dog,98.0
tom cruise,89.0
emma watson,78.0
johnny depp,74.0
usain bolt,73.0
kim kardashian,72.0
rihanna,71.0
adam sandler,69.0
chris brown,69.0
will smith,68.0
tony hawk,68.0
jackie chan,67.0
dalai lama,65.0
chris paul,64.0
nicki minaj,63.0
justin beiber,61.0
george clooney,58.0
britney spears,57.0
charlie sheen,52.0
paris hilton,52.0
matt damon,51.0
john mayer,49.0
justin timberlake,48.0
ben affleck,47.0
jim carrey,46.0
angelina jolie,45.0
kobe bryant,43.0
kevin durant,42.0
blake griffin,41.0
natalie portman,40.0
mark manson,40.0
jimmy fallon,34.0
mila kunis,33.0
ludacris,32.0
leonardo dicaprio,32.0
channing tatum,31.0
scarlett johansson,31.0
wiz khalifa,30.0
robert downey jr,30.0
trent reznor,29.0
vernon davis,29.0
ariana grande,28.0
bradley cooper,27.0
j.k. rowling,27.0
bruno mars,27.0
will ferrell,26.0
magic johnson,25.0
carmelo anthony,25.0
william shatner,25.0
anne hathaway,25.0
thiago silva,25.0
michelle obama,24.0
neil patrick harris,24.0
lindsay lohan,24.0
avril lavigne,21.0
andrew garfield,21.0
ellen degeneres,20.0
edward norton,19.0
daniel tosh,19.0
russell westbrook,18.0
david luiz,18.0
carly rae jepsen,18.0
sandra bullock,17.0
conan o'brien,17.0
ashton kutcher,17.0
halle berry,17.0
shakira,17.0
selena gomez,16.0
dwyane wade,15.0
colin kaepernick,15.0
yuya,15.0
david guetta,15.0
jennifer lopez,14.0
calvin harris,14.0
mariah carey,14.0
ed sheeran,14.0
jessica alba,13.0
narendra modi,13.0
jared leto,13.0
demi lovato,13.0
gareth bale,12.0
dani alves,12.0
kevin hart,12.0
deepak chopra,12.0
dwayne johnson,12.0
christina aguilera,12.0
zac efron,12.0
tim ferriss,11.0
amy adams,11.0
yoko ono,11.0
daniel radcliffe,11.0
will.i.am,11.0
amanda bynes,10.0
jayz,10.0
oprah winfrey,10.0
john legend,10.0
steve pavlina,10.0
david beckham,9.0
harry styles,9.0
simon cowell,9.0
milo yiannopoulos,9.0
tynan,9.0
gwen stefani,9.0
adam levine,8.0
joseph gordon-levitt,8.0
jason derulo,8.0
kelly clarkson,8.0
kylie jenner,8.0
bella thorne,8.0
ryan seacrest,7.0
meghan trainor,7.0
marshall mathers,7.0
alicia keys,7.0
barak obama,6.0
cesc fabregas,6.0
mark sisson,6.0
robb wolf,6.0
tyra banks,6.0
serena williams,6.0
jenna marbles,5.0
rachel mcadams,5.0
zayn malik,5.0
paulo coelho,5.0
keith urban,5.0
cameron dallas,5.0
norman reedus,5.0
michelle malkin,4.0
victoria justice,4.0
ray william johnson,4.0
nick cannon,4.0
luke bryan,4.0
andrew sullivan,4.0
brad paisley,4.0
vanessa hudgens,4.0
christiano ronaldo,4.0
victoria beckham,4.0
ricky martin,3.0
ramit sethi,3.0
brian kelly,3.0
gisele bundchen,3.0
brian tracy,3.0
hillary duff,3.0
tina su,3.0
eva longoria,3.0
zendaya,3.0
chelsea handler,3.0
rebel wilson,3.0
jennifer anniston,3.0
gary vaynerchuk,3.0
marc andreessen,3.0
blake lively,3.0
nick jonas,3.0
pat flynn,3.0
roger ver,2.0
blake shelton,2.0
ryan holiday,2.0
miranda cosgrove,2.0
dave asprey,2.0
danielle fishel,2.0
amber rose,2.0
fred armisen,2.0
tim draper,2.0
barry silbert,2.0
salman khan,2.0
gabby douglas,2.0
jeff garzik,2.0
reese witherspoon,2.0
vin deisel,2.0
juanes,2.0
rupert grint,2.0
andres iniesta,2.0
nick szabo,2.0
leon ho,2.0
kate hudson,2.0
aamir khan,2.0
penelope trunk,2.0
khloe kardashian,2.0
nathan kress,2.0
shay mitchell,2.0
chris dixon,1.0
ryan higa,1.0
franchesca ramsey,1.0
karlie kloss,1.0
adrian grenier,1.0
vitalik buterin,1.0
kerry washington,1.0
brooke shields,1.0
mark walberg,1.0
alexis krauss,1.0
nicole richie,1.0
robin sharma,1.0
kendall jenner,1.0
louise hay,1.0
cameron winklevoss,1.0
jon matonis,1.0
david cain,1.0
ashlee simpson,1.0
tyler winklevoss,1.0
sky ferreira,1.0
beppe grillo,1.0
priyanka chopra,1.0
don tapscott,1.0
solange knowles,1.0
leon thomas,1.0
gabrielle union,1.0
ryan sheckler,1.0
