celebrity,total_mentions
nas,87128.0
pink,25522.0
usher,7402.0
drake,5557.0
ron paul,4503.0
pitbull,1897.0
kaka,1565.0
bono,1366.0
skrillex,1141.0
bill gates,1101.0
taylor swift,849.0
donald trump,798.0
hillary clinton,776.0
lady gaga,670.0
brad pitt,668.0
kanye west,668.0
madonna,607.0
lebron james,602.0
adele,575.0
katy perry,532.0
lil wayne,516.0
michael jordan,512.0
tom cruise,494.0
miley cyrus,416.0
dalai lama,413.0
will smith,393.0
rihanna,390.0
usain bolt,381.0
chris brown,366.0
chris paul,342.0
snoop dog,341.0
emma watson,331.0
adam sandler,331.0
justin beiber,314.0
tony hawk,313.0
johnny depp,312.0
kim kardashian,304.0
jackie chan,300.0
kobe bryant,289.0
george clooney,289.0
britney spears,289.0
kevin durant,257.0
nicki minaj,251.0
john mayer,249.0
matt damon,241.0
paris hilton,238.0
charlie sheen,224.0
ben affleck,209.0
jim carrey,192.0
justin timberlake,191.0
natalie portman,185.0
mark manson,181.0
blake griffin,180.0
ludacris,157.0
leonardo dicaprio,152.0
mila kunis,151.0
scarlett johansson,147.0
wiz khalifa,146.0
angelina jolie,145.0
j.k. rowling,145.0
channing tatum,140.0
robert downey jr,132.0
anne hathaway,128.0
magic johnson,121.0
will ferrell,120.0
michelle obama,118.0
trent reznor,117.0
bruno mars,117.0
vernon davis,115.0
russell westbrook,114.0
jimmy fallon,114.0
lindsay lohan,107.0
carmelo anthony,105.0
selena gomez,104.0
edward norton,100.0
ed sheeran,97.0
david guetta,97.0
bradley cooper,96.0
neil patrick harris,96.0
daniel tosh,95.0
david beckham,95.0
avril lavigne,93.0
calvin harris,91.0
sandra bullock,90.0
ariana grande,88.0
zac efron,88.0
jared leto,87.0
dwyane wade,86.0
ashton kutcher,84.0
conan o'brien,83.0
thiago silva,78.0
andrew garfield,77.0
jessica alba,76.0
colin kaepernick,75.0
halle berry,73.0
william shatner,73.0
david luiz,72.0
shakira,72.0
tim ferriss,71.0
mariah carey,69.0
ellen degeneres,67.0
dwayne johnson,64.0
christina aguilera,61.0
jayz,60.0
deepak chopra,60.0
gareth bale,59.0
marshall mathers,57.0
oprah winfrey,57.0
joseph gordon-levitt,56.0
kelly clarkson,54.0
alicia keys,54.0
daniel radcliffe,52.0
ryan seacrest,51.0
will.i.am,50.0
dani alves,50.0
yoko ono,49.0
amy adams,46.0
carly rae jepsen,45.0
demi lovato,44.0
yuya,44.0
norman reedus,44.0
jennifer lopez,42.0
robb wolf,41.0
gwen stefani,40.0
simon cowell,40.0
amanda bynes,39.0
meghan trainor,37.0
mark sisson,36.0
adam levine,34.0
kevin hart,34.0
ricky martin,33.0
john legend,33.0
jason derulo,32.0
blake lively,31.0
keith urban,31.0
harry styles,30.0
tyra banks,29.0
barak obama,27.0
narendra modi,27.0
serena williams,26.0
paulo coelho,26.0
tynan,26.0
rachel mcadams,26.0
steve pavlina,25.0
brad paisley,25.0
blake shelton,25.0
milo yiannopoulos,24.0
kylie jenner,22.0
cesc fabregas,22.0
ray william johnson,22.0
luke bryan,21.0
jenna marbles,21.0
rupert grint,20.0
vanessa hudgens,20.0
brian tracy,19.0
andrew sullivan,19.0
reese witherspoon,18.0
tina su,18.0
hillary duff,18.0
nick cannon,18.0
laverne cox,17.0
salman khan,17.0
rebel wilson,17.0
christiano ronaldo,16.0
kate hudson,14.0
michelle malkin,14.0
brian kelly,13.0
louise hay,13.0
nicole richie,12.0
ramit sethi,12.0
eva longoria,12.0
chelsea handler,12.0
brooke shields,12.0
sarah warn,12.0
gary vaynerchuk,11.0
nick jonas,11.0
andres iniesta,11.0
dave asprey,11.0
bella thorne,11.0
mark walberg,11.0
zendaya,10.0
jennifer anniston,10.0
barry silbert,10.0
anna paquin,10.0
steven speilberg,9.0
khloe kardashian,9.0
pat flynn,9.0
chris kresser,9.0
beyonce knowles,9.0
amber rose,8.0
kendall jenner,8.0
adrian grenier,8.0
ryan holiday,8.0
jeff garzik,8.0
miranda cosgrove,8.0
zayn malik,8.0
gisele bundchen,7.0
fred armisen,7.0
roger ver,7.0
nick szabo,7.0
gabby douglas,7.0
victoria justice,6.0
aamir khan,6.0
cameron dallas,6.0
kim gordon,6.0
victoria beckham,6.0
karlie kloss,6.0
juanes,6.0
leo messi,5.0
lea michele,5.0
ashlee simpson,5.0
david seaman,5.0
gabrielle union,4.0
brian armstrong,4.0
vin deisel,4.0
vitalik buterin,4.0
marc andreessen,4.0
ryan sheckler,4.0
sean combs,4.0
beppe grillo,4.0
rob dyrdek,4.0
leon ho,4.0
jon matonis,4.0
penelope trunk,4.0
ashley tisdale,4.0
leo babauta,3.0
shah rukh khan,3.0
simone biles,3.0
ronaldinho gaucho,3.0
nathan kress,3.0
ryan higa,3.0
timothy sykes,3.0
brett mckay,3.0
scott young,3.0
jonathan wells,3.0
andy sandberg,3.0
tori kelly,3.0
kerry washington,3.0
gigi hadid,3.0
danielle fishel,3.0
michael arrington,3.0
tim draper,2.0
ashley benson,2.0
cameron winklevoss,2.0
ben savage,2.0
cody simpson,2.0
shawn murphy,2.0
priyanka chopra,2.0
alexis krauss,2.0
scott foley,2.0
dude perfect,2.0
don tapscott,2.0
robin sharma,2.0
blac chyna,2.0
david cain,2.0
shay mitchell,2.0
sophia vergara,2.0
deepika padukone,2.0
wences casares,2.0
ashley olson,1.0
james clear,1.0
ivete sangalo,1.0
julianne hough,1.0
harvey levin,1.0
jamie lynn spears,1.0
chris dixon,1.0
eric barker,1.0
jeremy dean,1.0
brian forde,1.0
tuur demeester,1.0
balaji srinivasan,1.0
michael hyatt,1.0
austin mahone,1.0
solange knowles,1.0
ansel elgort,1.0
jr hildebrand,1.0
avan jogia,1.0
tyler winklevoss,1.0
amitabh bachchan,1.0
hrithik roshan,1.0
stephen guise,1.0
liam payne,1.0
jay white,1.0
franchesca ramsey,1.0
nathaniel popper,1.0
kris jenner,1.0
leon thomas,1.0
victor pride,1.0
sky ferreira,1.0
ashley greene,1.0
darren hardy,1.0
